No.	품목	규격	서울	10동	자스민	9연동	곤지암	대관령	평창	재고합계	올해판매량	지난해 판매량	생산량	폐기량	출고예정	분갈이	삽목	출고예정B	기타
280	프렌치라벤다(퍼플)	10cm	0	0	0	0	0	0	0	0	0	420	5860	0	0		10000		
281	프렌치라벤다(퍼플)	15cm	97	29	1001	0	0	0	0	1127	0	2765	3569	0	0				
282	프렌치라벤다(퍼플)	18cm	15	117	925	0	0	0	0	1057	0	4584	2888	0	0				
283	프렌치라벤다(퍼플)	24cm	156	827	0	0	0	0	0	983	13	2160	1456	0	0				
284	프렌치라벤다(퍼플)	30cm	5	231	0	0	0	0	0	236	1	162	233	0	10				
285	프렌치라벤다(핑크)	10cm	0	0	76	0	0	0	0	76	0	100	540	0	0	750			
286	프렌치라벤다(핑크)	15cm	1	263	0	0	0	0	0	264	0	18	853	0	0				
287	프렌치라벤다(핑크)	18cm	121	297	70	0	0	0	0	488	0	1834	309	0	0				
288	프렌치라벤다(핑크)	24cm	55	961	0	0	0	0	0	1016	5	729	1520	0	0				
289	프렌치라벤다(핑크)	30cm	7	169	0	0	0	0	0	176	0	144	152	0	0				
290	프렌치라벤다(화이트)	10cm	0	0	0	0	0	0	0	0	20	100	4846	0	0				
291	프렌치라벤다(화이트)	15cm	83	46	346	0	0	0	0	475	0	926	1915	169	0				
292	프렌치라벤다(화이트)	18cm	75	144	1890	0	0	0	0	2109	0	2646	3073	211	0				
293	프렌치라벤다(화이트)	24cm	127	1938	0	0	0	0	0	2065	4	742	2203	0	0				
294	프렌치라벤다(화이트)	30cm	12	211	0	0	0	0	0	223	0	72	265	0	10				
295	프린지드라벤다	10cm	0	0	0	40	0	20	0	60	0	100	660	0	0				
296	프린지드라벤다	18cm	19	0	0	310	0	0	0	329	0	228	457	0	0				
297	프린지드라벤다	24cm	24	0	0	0	0	0	0	24	0	0	0	0	0				
298	플렉트란서스(모나라벤다)	10cm	0	0	0	60	0	0	0	60	0	45	0	0	0				
299	플렉트란서스(모나라벤다)	18cm	5	0	0	180	0	0	0	185	1	203	374	0	0				
300	플렉트란서스(모나라벤다)	24cm	15	0	0	60	0	0	0	75	0	422	360	0	0				
301	플렉트란서스(모나라벤다)	30cm	0	0	0	16	0	0	0	16	0	53	96	0	0				
302	핑거볼제라늄	10cm	0	0	0	0	0	0	0	0	0	4	140	0	0		300		
303	핑거볼제라늄	18cm	58	0	0	357	0	0	0	415	2	144	390	0	10				
304	핑거볼제라늄	24cm	46	0	0	41	0	0	0	87	0	1	34	0	0				
305	핑거볼제라늄	30cm	2	0	0	0	0	0	0	2	0	9	12	0	0				
306	핑크세이지	10cm	0	0	0	0	0	0	0	0	0	0	460	0	0				
307	핑크세이지	18cm	0	584	0	34	0	0	0	618	0	103	856	0	500				
308	핑크세이지	24cm	0	191	0	0	0	0	0	191	0	0	191	0	0				
309	학자스민	10cm	0	0	0	0	0	0	0	0	20	0	0	0	0				
310	학자스민	18cm	940	-78	0	0	0	0	0	862	80	477	800	0	0				
311	학자스민	21cm	632	743	0	0	0	0	0	1375	0	55	0	0	0				
312	학자스민	24cm	534	1133	0	0	0	0	0	1667	3	41	1064	0	0				
313	핫립세이지	10cm	0	0	0	0	0	0	0	0	0	70	2220	0	0				
314	핫립세이지	18cm	85	2621	0	0	0	0	0	2706	24	4500	6544	0	450				
315	핫립세이지	24cm	44	291	0	0	0	0	0	335	0	733	404	0	0				
316	핫립세이지	30cm	4	241	0	0	0	0	0	245	0	146	308	0	10				
317	핫립세이지	특대	0	0	0	0	0	0	0	0	0	5	0	0	0				
318	허하운드	10cm	59	0	0	0	0	0	0	59	0	101	160	0	0				
319	헬리오트로프	10cm	0	0	0	200	0	0	0	200	0	0	760	0	0				
320	헬리오트로프	18cm	82	0	0	900	0	0	0	982	20	1407	1021	0	300				
321	헬리오트로프	24cm	16	0	0	8	0	0	0	24	0	97	152	0	0				
322	홀리호크	10cm	87	0	0	0	0	0	0	87	0	0	112	0	0				
323	황금라벤다	15cm	0	0	0	0	0	0	0	0	0	0	0	0	0	70			
324	황금라벤다	18cm	0	0	0	0	0	0	0	0	0	3749	70	0	0				
