item_name,grade,zone,unit,current_stock
루,10cm,9연동,개,0
루,10cm,곤지암,개,0
루,10cm,대관령,개,0
루,10cm,평창,개,0
루빈바질,10cm,서울,개,0
루빈바질,10cm,10동,개,0
루빈바질,10cm,자스민,개,0
루빈바질,10cm,9연동,개,0
루빈바질,10cm,곤지암,개,0
루빈바질,10cm,대관령,개,0
루빈바질,10cm,평창,개,0
루피너스,10cm,서울,개,20
루피너스,10cm,10동,개,0
루피너스,10cm,자스민,개,0
루피너스,10cm,9연동,개,0
루피너스,10cm,곤지암,개,0
루피너스,10cm,대관령,개,0
루피너스,10cm,평창,개,0
리틀잎핑크세이지,10cm,서울,개,0
리틀잎핑크세이지,10cm,10동,개,0
리틀잎핑크세이지,10cm,자스민,개,0
리틀잎핑크세이지,10cm,9연동,개,0
리틀잎핑크세이지,10cm,곤지암,개,0
리틀잎핑크세이지,10cm,대관령,개,0
리틀잎핑크세이지,10cm,평창,개,0
리틀잎핑크세이지,18cm,서울,개,187
리틀잎핑크세이지,18cm,10동,개,447
리틀잎핑크세이지,18cm,자스민,개,0
리틀잎핑크세이지,18cm,9연동,개,0
리틀잎핑크세이지,18cm,곤지암,개,0
리틀잎핑크세이지,18cm,대관령,개,0
리틀잎핑크세이지,18cm,평창,개,0
리틀잎핑크세이지,24cm,서울,개,45
리틀잎핑크세이지,24cm,10동,개,257
리틀잎핑크세이지,24cm,자스민,개,0
리틀잎핑크세이지,24cm,9연동,개,0
리틀잎핑크세이지,24cm,곤지암,개,0
리틀잎핑크세이지,24cm,대관령,개,0
리틀잎핑크세이지,24cm,평창,개,0
리틀잎핑크세이지,30cm,서울,개,0
리틀잎핑크세이지,30cm,10동,개,34
리틀잎핑크세이지,30cm,자스민,개,0
리틀잎핑크세이지,30cm,9연동,개,0
리틀잎핑크세이지,30cm,곤지암,개,0
리틀잎핑크세이지,30cm,대관령,개,0
리틀잎핑크세이지,30cm,평창,개,0
마삭줄,18cm,서울,개,0
마삭줄,18cm,10동,개,0
마삭줄,18cm,자스민,개,0
마삭줄,18cm,9연동,개,88
마삭줄,18cm,곤지암,개,0
마삭줄,18cm,대관령,개,0
마삭줄,18cm,평창,개,0
마삭줄,24cm,서울,개,0
마삭줄,24cm,10동,개,0
마삭줄,24cm,자스민,개,0
마삭줄,24cm,9연동,개,16
마삭줄,24cm,곤지암,개,0
마삭줄,24cm,대관령,개,0
마삭줄,24cm,평창,개,0
마삭줄,30cm,서울,개,0
마삭줄,30cm,10동,개,0
마삭줄,30cm,자스민,개,0
마삭줄,30cm,9연동,개,2
마삭줄,30cm,곤지암,개,0
마삭줄,30cm,대관령,개,0
마삭줄,30cm,평창,개,0
마조람,10cm,서울,개,100
마조람,10cm,10동,개,0
마조람,10cm,자스민,개,0
마조람,10cm,9연동,개,0
마조람,10cm,곤지암,개,0
마조람,10cm,대관령,개,0
마조람,10cm,평창,개,0
마편초,10cm,서울,개,280
마편초,10cm,10동,개,0
마편초,10cm,자스민,개,0
마편초,10cm,9연동,개,0
마편초,10cm,곤지암,개,0
마편초,10cm,대관령,개,0
마편초,10cm,평창,개,0
마편초,18cm,서울,개,380
마편초,18cm,10동,개,0
마편초,18cm,자스민,개,0
마편초,18cm,9연동,개,0
마편초,18cm,곤지암,개,0
마편초,18cm,대관령,개,0
마편초,18cm,평창,개,0
메리골드슈퍼보이옐로우,10cm,서울,개,0
메리골드슈퍼보이옐로우,10cm,10동,개,0
메리골드슈퍼보이옐로우,10cm,자스민,개,0
메리골드슈퍼보이옐로우,10cm,9연동,개,0
메리골드슈퍼보이옐로우,10cm,곤지암,개,0
